"","parameter","index","simulation_value","IQR_min","IQR50_lower","IQR50_upper","mean","median","sd","n_series","n_observations","mean_IQR","mean_sd","model"
"29","sigma","4",0.25,1,0.579192508182311,0.804112456289588,0.701403085410054,0.683717955111967,0.168497502536608,5,5,1,0.168497502536608,"non_pooled"
"30","sigma","5",0.25,1,0.579192508182311,0.804112456289588,0.701403085410054,0.683717955111967,0.168497502536608,5,5,1,0.168497502536608,"non_pooled"
"31","rho","1",4.30695247033633,0.95,1.80396455039903,2.77439138888136,2.37080933323186,2.22017815988452,0.802021764121515,5,5,0.568,0.824583302172034,"partially"
"32","rho","2",2.25370507586751,0.12,1.71192718726403,2.70358650000952,2.30383699273749,2.13127480433863,0.834655778872006,5,5,0.568,0.824583302172034,"partially"
"33","rho","3",2.69200586052105,0.48,1.81319991862919,2.71586413957848,2.34444265247268,2.19244640903953,0.777041802784979,5,5,0.568,0.824583302172034,"partially"
"34","rho","4",2.88722893720248,0.66,1.73123871283508,2.64031891850174,2.276070829842,2.12320707705714,0.780946698430134,5,5,0.568,0.824583302172034,"partially"
"35","rho","5",3.09339924955628,0.63,1.83825658369318,2.87419118699809,2.47445385781632,2.28923485210374,0.928250466651536,5,5,0.568,0.824583302172034,"partially"
"36","alpha","1",2.91546624186282,0.09,2.39901729460035,3.39392497610754,3.02660994738072,2.84379761226177,0.966597015896779,5,5,0.408,0.953731694104042,"partially"
"37","alpha","2",1.96006138868003,0.24,1.64864481367633,2.74026070324311,2.24339095727466,2.20063764065301,0.937710941651157,5,5,0.408,0.953731694104042,"partially"
"38","alpha","3",2.42013653344334,0.65,2.586831548861,3.7733458128017,3.32694628106663,3.112455984365,1.08294838229963,5,5,0.408,0.953731694104042,"partially"
"39","alpha","4",3.60975867744047,0.76,2.10054750830207,3.09656648451987,2.70727848822328,2.52872165676173,0.968885482884168,5,5,0.408,0.953731694104042,"partially"
"40","alpha","5",1.97963704687468,0.3,1.77577230951136,2.78917601392688,2.34055890452413,2.24585101287866,0.812516647788477,5,5,0.408,0.953731694104042,"partially"
"41","sigma","1",0.25,0.24,0.153458298299521,0.552187852039389,0.374823611949145,0.336336102263412,0.267914182950723,5,5,0.24,0.267914182950723,"partially"
"42","sigma","2",0.25,0.24,0.153458298299521,0.552187852039389,0.374823611949145,0.336336102263412,0.267914182950723,5,5,0.24,0.267914182950723,"partially"
"43","sigma","3",0.25,0.24,0.153458298299521,0.552187852039389,0.374823611949145,0.336336102263412,0.267914182950723,5,5,0.24,0.267914182950723,"partially"
"44","sigma","4",0.25,0.24,0.153458298299521,0.552187852039389,0.374823611949145,0.336336102263412,0.267914182950723,5,5,0.24,0.267914182950723,"partially"
"45","sigma","5",0.25,0.24,0.153458298299521,0.552187852039389,0.374823611949145,0.336336102263412,0.267914182950723,5,5,0.24,0.267914182950723,"partially"
"46","rho","1",2.28880262505389,0.97,2.80529052378309,3.45461702892678,3.1555555891611,3.10394895306324,0.494827036206316,5,10,0.7,0.494827036206316,"pooled"
"47","rho","2",2.96128532149055,0.27,2.80529052378309,3.45461702892678,3.1555555891611,3.10394895306324,0.494827036206316,5,10,0.7,0.494827036206316,"pooled"
"48","rho","3",2.19994192064434,0.99,2.80529052378309,3.45461702892678,3.1555555891611,3.10394895306324,0.494827036206316,5,10,0.7,0.494827036206316,"pooled"
"49","rho","4",2.78527754027973,0.53,2.80529052378309,3.45461702892678,3.1555555891611,3.10394895306324,0.494827036206316,5,10,0.7,0.494827036206316,"pooled"
"50","rho","5",2.64300438298742,0.74,2.80529052378309,3.45461702892678,3.1555555891611,3.10394895306324,0.494827036206316,5,10,0.7,0.494827036206316,"pooled"
"51","alpha","1",1.04993681840256,1,2.06395192570059,2.54307914217693,2.32530066536114,2.28531622327643,0.377284489252042,5,10,0.83,0.377284489252042,"pooled"
"52","alpha","2",0.886810173277305,1,2.06395192570059,2.54307914217693,2.32530066536114,2.28531622327643,0.377284489252042,5,10,0.83,0.377284489252042,"pooled"
