"PC1","PC2","time","subject"
6.36724620322017,-4.4437108820182,1,2
5.97049235084247,-3.41992504353593,2,2
5.57373849846476,-2.39613920505366,3,2
5.17698464608706,-1.37235336657139,4,2
4.78023079370935,-0.348567528089114,5,2
5.34552597439942,-1.86169658299166,6,2
5.9108211550895,-3.37482563789421,7,2
6.47611633577957,-4.88795469279676,8,2
6.21108791057386,-4.6483492409682,9,2
5.94605948536814,-4.40874378913963,10,2
5.68103106016244,-4.16913833731106,11,2
5.41600263495672,-3.92953288548249,12,2
5.89888722012098,-3.89078728335779,13,2
6.38177180528522,-3.85204168123309,14,2
6.86465639044947,-3.81329607910838,15,2
6.80747947695452,-4.03186257635942,16,2
6.75030256345956,-4.25042907361045,17,2
6.69312564996461,-4.46899557086148,18,2
6.63594873646966,-4.68756206811252,19,2
6.55807427699155,-4.72155218013484,20,2
6.48019981751342,-4.75554229215717,21,2
6.4023253580353,-4.78953240417951,22,2
6.33738280557808,-4.81065970495829,23,2
6.27244025312085,-4.83178700573709,24,2
6.20749770066363,-4.85291430651588,25,2
6.14255514820641,-4.87404160729469,26,2
5.96984958469218,-4.46876911797915,27,2
5.79714402117796,-4.06349662866363,28,2
5.62443845766373,-3.6582241393481,29,2
5.16665627324054,-3.51744033063838,30,2
4.70887408881734,-3.37665652192864,31,2
4.25109190439413,-3.23587271321892,32,2
3.79330971997094,-3.09508890450919,33,2
4.80828554091098,-3.30090670432964,34,2
5.82326136185102,-3.5067245041501,35,2
6.83823718279105,-3.71254230397055,36,2
6.76773525517645,-3.47430563763589,37,2
6.69723332756185,-3.23606897130123,38,2
6.62673139994725,-2.99783230496658,39,2
6.55622947233265,-2.75959563863192,40,2
6.47112372689164,-3.1333551342942,41,2
6.38601798145064,-3.50711462995648,42,2
6.30091223600963,-3.88087412561876,43,2
5.45170163655461,-2.60778898749135,44,2
4.60249103709961,-1.33470384936394,45,2
3.7532804376446,-0.0616187112365345,46,2
2.90406983818959,1.21146642689087,47,2
4.14661142156019,-0.41543506491463,48,2
5.38915300493081,-2.04233655672013,49,2
6.63169458830141,-3.66923804852564,50,2
6.75660673491977,-4.05253420553295,51,2
6.88151888153811,-4.43583036254026,52,2
7.00643102815646,-4.81912651954757,53,2
7.13134317477482,-5.20242267655488,54,2
4.17199804680402,-4.05408252842314,55,2
1.21265291883321,-2.9057423802914,56,2
-1.74669220913759,-1.75740223215966,57,2
-2.24014784354724,-1.30685152372065,58,2
-2.73360347795688,-0.856300815281632,59,2
-3.22705911236654,-0.40575010684262,60,2
-3.72051474677618,0.0448006015963928,61,2
-4.01130734636473,-0.930198129892621,62,2
-4.30209994595327,-1.90519686138163,63,2
-4.59289254554181,-2.88019559287065,64,2
-5.16693396436936,-2.48912036336032,65,2
-5.7409753831969,-2.09804513384999,66,2
-6.31501680202445,-1.70696990433966,67,2
-6.889058220852,-1.31589467482932,68,2
-7.24761018443623,-2.02453649396033,69,2
-7.60616214802048,-2.73317831309132,70,2
-7.96471411160471,-3.44182013222233,71,2
-7.29640831575776,-3.71028098409862,72,2
-6.62810251991081,-3.97874183597492,73,2
-5.95979672406385,-4.24720268785121,74,2
-5.29149092821689,-4.5156635397275,75,2
-5.59797269391071,-5.09401548151163,76,2
-5.90445445960453,-5.67236742329576,77,2
-6.21093622529834,-6.25071936507989,78,2
-6.20930716011712,-5.562808160593,79,2
-6.2076780949359,-4.8748969561061,80,2
-6.20604902975469,-4.18698575161921,81,2
-6.20441996457347,-3.49907454713231,82,2
-6.20279089939226,-2.81116334264542,83,2
-6.20116183421103,-2.12325213815852,84,2
-6.19953276902981,-1.43534093367163,85,2
-5.8774212075728,-1.82443704613796,86,2
-5.55530964611578,-2.2135331586043,87,2
-5.23319808465877,-2.60262927107064,88,2
-4.91108652320175,-2.99172538353698,89,2
-5.26364222897245,-3.8139235070616,90,2
-5.61619793474314,-4.63612163058621,91,2
-5.96875364051383,-5.45831975411084,92,2
-5.35925414788443,-5.37053254680976,93,2
-4.74975465525501,-5.28274533950868,94,2
-4.1402551626256,-5.1949581322076,95,2
