"","parameter","index","simulation_value","IQR","n_series","n_observations","mean_IQR","model"
"1220","lambda","10",0.602752351615199,0.3,10,45,0.369,"non_pooled"
"1221","sigma","1",0.0369543424169277,0.36,10,45,0.499,"non_pooled"
"1222","sigma","2",0.106101557019606,0.29,10,45,0.499,"non_pooled"
"1223","sigma","3",0.0439930304367752,0.58,10,45,0.499,"non_pooled"
"1224","sigma","4",0.104049900251321,0.18,10,45,0.499,"non_pooled"
"1225","sigma","5",0.235866973404055,0.23,10,45,0.499,"non_pooled"
"1226","sigma","6",0.172692344002828,0.33,10,45,0.499,"non_pooled"
"1227","sigma","7",-0.0450941941711299,1,10,45,0.499,"non_pooled"
"1228","sigma","8",0.11417719525417,0.43,10,45,0.499,"non_pooled"
"1229","sigma","9",0.175023897689573,0.8,10,45,0.499,"non_pooled"
"1230","sigma","10",0.173506789663187,0.79,10,45,0.499,"non_pooled"
"1231","mu","1",-0.0954481224146754,0.26,10,45,0.383,"partially"
"1232","mu","2",0.110297957051758,0.09,10,45,0.383,"partially"
"1233","mu","3",-0.337764866147167,0.81,10,45,0.383,"partially"
"1234","mu","4",-0.0249264891121661,0.48,10,45,0.383,"partially"
"1235","mu","5",0.335437002884611,0.19,10,45,0.383,"partially"
"1236","mu","6",0.549505886127884,0.54,10,45,0.383,"partially"
"1237","mu","7",0.224159731490022,0.19,10,45,0.383,"partially"
"1238","mu","8",0.432338180633676,0.04,10,45,0.383,"partially"
"1239","mu","9",0.253267756589261,0.89,10,45,0.383,"partially"
"1240","mu","10",-0.0249741014879859,0.34,10,45,0.383,"partially"
"1241","lambda","1",0.549139857824836,0.35,10,45,0.44,"partially"
"1242","lambda","2",0.550758858477596,0.45,10,45,0.44,"partially"
"1243","lambda","3",0.513504274819187,0.17,10,45,0.44,"partially"
"1244","lambda","4",0.608212477027756,0.37,10,45,0.44,"partially"
"1245","lambda","5",0.545129853948938,0.24,10,45,0.44,"partially"
"1246","lambda","6",0.797110067148785,1,10,45,0.44,"partially"
"1247","lambda","7",0.457942078083968,0.29,10,45,0.44,"partially"
"1248","lambda","8",0.521268745656858,0.33,10,45,0.44,"partially"
"1249","lambda","9",0.724749743959567,0.86,10,45,0.44,"partially"
"1250","lambda","10",0.602752351615199,0.34,10,45,0.44,"partially"
"1251","sigma","1",0.0369543424169277,0.44,10,45,0.482,"partially"
"1252","sigma","2",0.106101557019606,0.12,10,45,0.482,"partially"
"1253","sigma","3",0.0439930304367752,0.48,10,45,0.482,"partially"
"1254","sigma","4",0.104049900251321,0.02,10,45,0.482,"partially"
"1255","sigma","5",0.235866973404055,0.88,10,45,0.482,"partially"
"1256","sigma","6",0.172692344002828,0.72,10,45,0.482,"partially"
"1257","sigma","7",-0.0450941941711299,1,10,45,0.482,"partially"
"1258","sigma","8",0.11417719525417,0.18,10,45,0.482,"partially"
"1259","sigma","9",0.175023897689573,0.07,10,45,0.482,"partially"
"1260","sigma","10",0.173506789663187,0.91,10,45,0.482,"partially"
"1261","mu","1",-0.0954481224146754,1,10,50,0.961,"pooled"
"1262","mu","2",0.110297957051758,0.61,10,50,0.961,"pooled"
"1263","mu","3",-0.337764866147167,1,10,50,0.961,"pooled"
"1264","mu","4",-0.0249264891121661,1,10,50,0.961,"pooled"
"1265","mu","5",0.335437002884611,1,10,50,0.961,"pooled"
"1266","mu","6",0.549505886127884,1,10,50,0.961,"pooled"
"1267","mu","7",0.224159731490022,1,10,50,0.961,"pooled"
"1268","mu","8",0.432338180633676,1,10,50,0.961,"pooled"
"1269","mu","9",0.253267756589261,1,10,50,0.961,"pooled"
"1270","mu","10",-0.0249741014879859,1,10,50,0.961,"pooled"
"1271","lambda","1",0.549139857824836,1,10,50,1,"pooled"
"1272","lambda","2",0.550758858477596,1,10,50,1,"pooled"
"1273","lambda","3",0.513504274819187,1,10,50,1,"pooled"
"1274","lambda","4",0.608212477027756,1,10,50,1,"pooled"
"1275","lambda","5",0.545129853948938,1,10,50,1,"pooled"
"1276","lambda","6",0.797110067148785,1,10,50,1,"pooled"
"1277","lambda","7",0.457942078083968,1,10,50,1,"pooled"
"1278","lambda","8",0.521268745656858,1,10,50,1,"pooled"
"1279","lambda","9",0.724749743959567,1,10,50,1,"pooled"
"1280","lambda","10",0.602752351615199,1,10,50,1,"pooled"
"1281","sigma","1",0.0369543424169277,1,10,50,1,"pooled"
"1282","sigma","2",0.106101557019606,1,10,50,1,"pooled"
"1283","sigma","3",0.0439930304367752,1,10,50,1,"pooled"
"1284","sigma","4",0.104049900251321,1,10,50,1,"pooled"
"1285","sigma","5",0.235866973404055,1,10,50,1,"pooled"
"1286","sigma","6",0.172692344002828,1,10,50,1,"pooled"
"1287","sigma","7",-0.0450941941711299,1,10,50,1,"pooled"
"1288","sigma","8",0.11417719525417,1,10,50,1,"pooled"
"1289","sigma","9",0.175023897689573,1,10,50,1,"pooled"
"1290","sigma","10",0.173506789663187,1,10,50,1,"pooled"
"1291","mu","1",-0.0954481224146754,0.01,10,50,0.515,"non_pooled"
"1292","mu","2",0.110297957051758,0.4,10,50,0.515,"non_pooled"
"1293","mu","3",-0.337764866147167,1,10,50,0.515,"non_pooled"
"1294","mu","4",-0.0249264891121661,0.53,10,50,0.515,"non_pooled"
"1295","mu","5",0.335437002884611,0.43,10,50,0.515,"non_pooled"
"1296","mu","6",0.549505886127884,0.47,10,50,0.515,"non_pooled"
"1297","mu","7",0.224159731490022,0.91,10,50,0.515,"non_pooled"
"1298","mu","8",0.432338180633676,0.35,10,50,0.515,"non_pooled"
"1299","mu","9",0.253267756589261,0.44,10,50,0.515,"non_pooled"
"1300","mu","10",-0.0249741014879859,0.61,10,50,0.515,"non_pooled"
"1301","lambda","1",0.549139857824836,0.19,10,50,0.437,"non_pooled"
"1302","lambda","2",0.550758858477596,0.86,10,50,0.437,"non_pooled"
"1303","lambda","3",0.513504274819187,0.69,10,50,0.437,"non_pooled"
"1304","lambda","4",0.608212477027756,0.83,10,50,0.437,"non_pooled"
"1305","lambda","5",0.545129853948938,0.19,10,50,0.437,"non_pooled"
"1306","lambda","6",0.797110067148785,0.55,10,50,0.437,"non_pooled"
"1307","lambda","7",0.457942078083968,0.09,10,50,0.437,"non_pooled"
"1308","lambda","8",0.521268745656858,0.44,10,50,0.437,"non_pooled"
"1309","lambda","9",0.724749743959567,0.07,10,50,0.437,"non_pooled"
"1310","lambda","10",0.602752351615199,0.46,10,50,0.437,"non_pooled"
"1311","sigma","1",0.0369543424169277,0.95,10,50,0.655,"non_pooled"
"1312","sigma","2",0.106101557019606,0.59,10,50,0.655,"non_pooled"
"1313","sigma","3",0.0439930304367752,0.63,10,50,0.655,"non_pooled"
"1314","sigma","4",0.104049900251321,0.69,10,50,0.655,"non_pooled"
"1315","sigma","5",0.235866973404055,0.63,10,50,0.655,"non_pooled"
"1316","sigma","6",0.172692344002828,0.23,10,50,0.655,"non_pooled"
"1317","sigma","7",-0.0450941941711299,1,10,50,0.655,"non_pooled"
"1318","sigma","8",0.11417719525417,0.2,10,50,0.655,"non_pooled"
"1319","sigma","9",0.175023897689573,0.85,10,50,0.655,"non_pooled"
"1320","sigma","10",0.173506789663187,0.78,10,50,0.655,"non_pooled"
"1321","mu","1",-0.0954481224146754,0.02,10,50,0.539,"partially"
"1322","mu","2",0.110297957051758,0.35,10,50,0.539,"partially"
"1323","mu","3",-0.337764866147167,1,10,50,0.539,"partially"
"1324","mu","4",-0.0249264891121661,0.58,10,50,0.539,"partially"
"1325","mu","5",0.335437002884611,0.57,10,50,0.539,"partially"
"1326","mu","6",0.549505886127884,0.56,10,50,0.539,"partially"
"1327","mu","7",0.224159731490022,0.92,10,50,0.539,"partially"
"1328","mu","8",0.432338180633676,0.33,10,50,0.539,"partially"
"1329","mu","9",0.253267756589261,0.43,10,50,0.539,"partially"
"1330","mu","10",-0.0249741014879859,0.63,10,50,0.539,"partially"
"1331","lambda","1",0.549139857824836,0.11,10,50,0.408,"partially"
"1332","lambda","2",0.550758858477596,0.58,10,50,0.408,"partially"
"1333","lambda","3",0.513504274819187,0.45,10,50,0.408,"partially"
"1334","lambda","4",0.608212477027756,0.84,10,50,0.408,"partially"
"1335","lambda","5",0.545129853948938,0.46,10,50,0.408,"partially"
"1336","lambda","6",0.797110067148785,0.89,10,50,0.408,"partially"
"1337","lambda","7",0.457942078083968,0.01,10,50,0.408,"partially"
"1338","lambda","8",0.521268745656858,0.11,10,50,0.408,"partially"
"1339","lambda","9",0.724749743959567,0.44,10,50,0.408,"partially"
"1340","lambda","10",0.602752351615199,0.19,10,50,0.408,"partially"
"1341","sigma","1",0.0369543424169277,0.95,10,50,0.587,"partially"
"1342","sigma","2",0.106101557019606,0.47,10,50,0.587,"partially"
"1343","sigma","3",0.0439930304367752,0.65,10,50,0.587,"partially"
"1344","sigma","4",0.104049900251321,0.61,10,50,0.587,"partially"
"1345","sigma","5",0.235866973404055,0.54,10,50,0.587,"partially"
"1346","sigma","6",0.172692344002828,0.38,10,50,0.587,"partially"
"1347","sigma","7",-0.0450941941711299,1,10,50,0.587,"partially"
"1348","sigma","8",0.11417719525417,0.32,10,50,0.587,"partially"
"1349","sigma","9",0.175023897689573,0.93,10,50,0.587,"partially"
"1350","sigma","10",0.173506789663187,0.02,10,50,0.587,"partially"
"1351","mu","1",-0.187381604503218,0.81,15,5,0.860666666666667,"pooled"
"1352","mu","2",0.104477225375019,1,15,5,0.860666666666667,"pooled"
"1353","mu","3",-0.117696723793029,0.19,15,5,0.860666666666667,"pooled"
"1354","mu","4",-0.111776763779146,0.12,15,5,0.860666666666667,"pooled"
"1355","mu","5",0.399387784347926,1,15,5,0.860666666666667,"pooled"
"1356","mu","6",-0.204180223984624,0.9,15,5,0.860666666666667,"pooled"
"1357","mu","7",-0.308836637675114,1,15,5,0.860666666666667,"pooled"
"1358","mu","8",-0.425156345798377,1,15,5,0.860666666666667,"pooled"
"1359","mu","9",0.526359247153667,1,15,5,0.860666666666667,"pooled"
"1360","mu","10",0.00327693763623992,0.89,15,5,0.860666666666667,"pooled"
"1361","mu","11",0.165653434080056,1,15,5,0.860666666666667,"pooled"
"1362","mu","12",-0.339691492934443,1,15,5,0.860666666666667,"pooled"
"1363","mu","13",-0.50946458095179,1,15,5,0.860666666666667,"pooled"
"1364","mu","14",0.270361415460287,1,15,5,0.860666666666667,"pooled"
"1365","mu","15",-0.287997143240387,1,15,5,0.860666666666667,"pooled"
"1366","lambda","1",0.549139857824836,1,15,5,0.987333333333333,"pooled"
"1367","lambda","2",0.550758858477596,1,15,5,0.987333333333333,"pooled"
"1368","lambda","3",0.513504274819187,0.99,15,5,0.987333333333333,"pooled"
"1369","lambda","4",0.608212477027756,1,15,5,0.987333333333333,"pooled"
"1370","lambda","5",0.545129853948938,1,15,5,0.987333333333333,"pooled"
"1371","lambda","6",0.797110067148785,1,15,5,0.987333333333333,"pooled"
"1372","lambda","7",0.457942078083968,0.94,15,5,0.987333333333333,"pooled"
"1373","lambda","8",0.521268745656858,0.99,15,5,0.987333333333333,"pooled"
"1374","lambda","9",0.724749743959567,1,15,5,0.987333333333333,"pooled"
"1375","lambda","10",0.602752351615199,1,15,5,0.987333333333333,"pooled"
"1376","lambda","11",0.771325459496845,1,15,5,0.987333333333333,"pooled"
"1377","lambda","12",0.453858985248819,0.94,15,5,0.987333333333333,"pooled"
"1378","lambda","13",0.51687888575751,0.99,15,5,0.987333333333333,"pooled"
"1379","lambda","14",0.473574458659932,0.96,15,5,0.987333333333333,"pooled"
"1380","lambda","15",0.546067056044692,1,15,5,0.987333333333333,"pooled"
"1381","sigma","1",0.276349973112058,0.55,15,5,0.844,"pooled"
"1382","sigma","2",0.164485693971468,1,15,5,0.844,"pooled"
"1383","sigma","3",0.367547273074864,1,15,5,0.844,"pooled"
"1384","sigma","4",0.205865698126501,0.82,15,5,0.844,"pooled"
"1385","sigma","5",0.352886591565369,0.99,15,5,0.844,"pooled"
"1386","sigma","6",0.349208416319004,0.99,15,5,0.844,"pooled"
"1387","sigma","7",0.197296757139175,0.91,15,5,0.844,"pooled"
"1388","sigma","8",0.193039992655029,0.94,15,5,0.844,"pooled"
"1389","sigma","9",0.259587084019733,0.24,15,5,0.844,"pooled"
"1390","sigma","10",0.301440600614085,0.84,15,5,0.844,"pooled"
"1391","sigma","11",0.178055391285221,0.99,15,5,0.844,"pooled"
"1392","sigma","12",-0.013823356925231,1,15,5,0.844,"pooled"
"1393","sigma","13",0.226114450968266,0.48,15,5,0.844,"pooled"
"1394","sigma","14",0.197229094218408,0.91,15,5,0.844,"pooled"
"1395","sigma","15",0.40272026466978,1,15,5,0.844,"pooled"
"1396","mu","1",-0.187381604503218,0.87,15,5,0.498666666666667,"non_pooled"
"1397","mu","2",0.104477225375019,0.87,15,5,0.498666666666667,"non_pooled"
"1398","mu","3",-0.117696723793029,0.49,15,5,0.498666666666667,"non_pooled"
"1399","mu","4",-0.111776763779146,0.86,15,5,0.498666666666667,"non_pooled"
"1400","mu","5",0.399387784347926,0.37,15,5,0.498666666666667,"non_pooled"
"1401","mu","6",-0.204180223984624,0.23,15,5,0.498666666666667,"non_pooled"
"1402","mu","7",-0.308836637675114,0.53,15,5,0.498666666666667,"non_pooled"
"1403","mu","8",-0.425156345798377,0.67,15,5,0.498666666666667,"non_pooled"
"1404","mu","9",0.526359247153667,0.29,15,5,0.498666666666667,"non_pooled"
"1405","mu","10",0.00327693763623992,0.38,15,5,0.498666666666667,"non_pooled"
"1406","mu","11",0.165653434080056,0.04,15,5,0.498666666666667,"non_pooled"
"1407","mu","12",-0.339691492934443,0.8,15,5,0.498666666666667,"non_pooled"
"1408","mu","13",-0.50946458095179,0.41,15,5,0.498666666666667,"non_pooled"
"1409","mu","14",0.270361415460287,0.37,15,5,0.498666666666667,"non_pooled"
"1410","mu","15",-0.287997143240387,0.3,15,5,0.498666666666667,"non_pooled"
"1411","lambda","1",0.549139857824836,0.35,15,5,0.382,"non_pooled"
"1412","lambda","2",0.550758858477596,0.17,15,5,0.382,"non_pooled"
"1413","lambda","3",0.513504274819187,0.32,15,5,0.382,"non_pooled"
"1414","lambda","4",0.608212477027756,0.21,15,5,0.382,"non_pooled"
"1415","lambda","5",0.545129853948938,0.41,15,5,0.382,"non_pooled"
"1416","lambda","6",0.797110067148785,0.43,15,5,0.382,"non_pooled"
"1417","lambda","7",0.457942078083968,0.63,15,5,0.382,"non_pooled"
"1418","lambda","8",0.521268745656858,0.41,15,5,0.382,"non_pooled"
"1419","lambda","9",0.724749743959567,0.3,15,5,0.382,"non_pooled"
"1420","lambda","10",0.602752351615199,0.24,15,5,0.382,"non_pooled"
"1421","lambda","11",0.771325459496845,0.33,15,5,0.382,"non_pooled"
"1422","lambda","12",0.453858985248819,0.64,15,5,0.382,"non_pooled"
"1423","lambda","13",0.51687888575751,0.48,15,5,0.382,"non_pooled"
"1424","lambda","14",0.473574458659932,0.46,15,5,0.382,"non_pooled"
"1425","lambda","15",0.546067056044692,0.35,15,5,0.382,"non_pooled"
"1426","sigma","1",0.276349973112058,0.59,15,5,0.582666666666667,"non_pooled"
"1427","sigma","2",0.164485693971468,0.21,15,5,0.582666666666667,"non_pooled"
"1428","sigma","3",0.367547273074864,0.5,15,5,0.582666666666667,"non_pooled"
"1429","sigma","4",0.205865698126501,0.33,15,5,0.582666666666667,"non_pooled"
"1430","sigma","5",0.352886591565369,0.53,15,5,0.582666666666667,"non_pooled"
"1431","sigma","6",0.349208416319004,0.96,15,5,0.582666666666667,"non_pooled"
"1432","sigma","7",0.197296757139175,0.77,15,5,0.582666666666667,"non_pooled"
"1433","sigma","8",0.193039992655029,0.85,15,5,0.582666666666667,"non_pooled"
"1434","sigma","9",0.259587084019733,0.32,15,5,0.582666666666667,"non_pooled"
"1435","sigma","10",0.301440600614085,0.36,15,5,0.582666666666667,"non_pooled"
"1436","sigma","11",0.178055391285221,0.4,15,5,0.582666666666667,"non_pooled"
"1437","sigma","12",-0.013823356925231,1,15,5,0.582666666666667,"non_pooled"
"1438","sigma","13",0.226114450968266,0.76,15,5,0.582666666666667,"non_pooled"
"1439","sigma","14",0.197229094218408,0.84,15,5,0.582666666666667,"non_pooled"
"1440","sigma","15",0.40272026466978,0.32,15,5,0.582666666666667,"non_pooled"
"1441","mu","1",-0.187381604503218,0.67,15,5,0.495333333333333,"partially"
"1442","mu","2",0.104477225375019,0.87,15,5,0.495333333333333,"partially"
"1443","mu","3",-0.117696723793029,0.44,15,5,0.495333333333333,"partially"
"1444","mu","4",-0.111776763779146,0.78,15,5,0.495333333333333,"partially"
"1445","mu","5",0.399387784347926,0.84,15,5,0.495333333333333,"partially"
"1446","mu","6",-0.204180223984624,0.04,15,5,0.495333333333333,"partially"
"1447","mu","7",-0.308836637675114,0.7,15,5,0.495333333333333,"partially"
"1448","mu","8",-0.425156345798377,0.14,15,5,0.495333333333333,"partially"
"1449","mu","9",0.526359247153667,0.5,15,5,0.495333333333333,"partially"
"1450","mu","10",0.00327693763623992,0.2,15,5,0.495333333333333,"partially"
"1451","mu","11",0.165653434080056,0.25,15,5,0.495333333333333,"partially"
"1452","mu","12",-0.339691492934443,0.68,15,5,0.495333333333333,"partially"
"1453","mu","13",-0.50946458095179,0.56,15,5,0.495333333333333,"partially"
"1454","mu","14",0.270361415460287,0.72,15,5,0.495333333333333,"partially"
"1455","mu","15",-0.287997143240387,0.04,15,5,0.495333333333333,"partially"
"1456","lambda","1",0.549139857824836,0.32,15,5,0.397333333333333,"partially"
"1457","lambda","2",0.550758858477596,0.41,15,5,0.397333333333333,"partially"
"1458","lambda","3",0.513504274819187,0.36,15,5,0.397333333333333,"partially"
"1459","lambda","4",0.608212477027756,0.49,15,5,0.397333333333333,"partially"
"1460","lambda","5",0.545129853948938,0.34,15,5,0.397333333333333,"partially"
"1461","lambda","6",0.797110067148785,0.85,15,5,0.397333333333333,"partially"
"1462","lambda","7",0.457942078083968,0.07,15,5,0.397333333333333,"partially"
"1463","lambda","8",0.521268745656858,0.23,15,5,0.397333333333333,"partially"
"1464","lambda","9",0.724749743959567,0.83,15,5,0.397333333333333,"partially"
"1465","lambda","10",0.602752351615199,0.49,15,5,0.397333333333333,"partially"
"1466","lambda","11",0.771325459496845,0.82,15,5,0.397333333333333,"partially"
"1467","lambda","12",0.453858985248819,0.03,15,5,0.397333333333333,"partially"
"1468","lambda","13",0.51687888575751,0.19,15,5,0.397333333333333,"partially"
"1469","lambda","14",0.473574458659932,0.21,15,5,0.397333333333333,"partially"
"1470","lambda","15",0.546067056044692,0.32,15,5,0.397333333333333,"partially"
"1471","sigma","1",0.276349973112058,0.71,15,5,0.518666666666667,"partially"
"1472","sigma","2",0.164485693971468,0.21,15,5,0.518666666666667,"partially"
"1473","sigma","3",0.367547273074864,0.58,15,5,0.518666666666667,"partially"
"1474","sigma","4",0.205865698126501,0.33,15,5,0.518666666666667,"partially"
"1475","sigma","5",0.352886591565369,0.42,15,5,0.518666666666667,"partially"
"1476","sigma","6",0.349208416319004,0.1,15,5,0.518666666666667,"partially"
"1477","sigma","7",0.197296757139175,0.57,15,5,0.518666666666667,"partially"
"1478","sigma","8",0.193039992655029,0.72,15,5,0.518666666666667,"partially"
"1479","sigma","9",0.259587084019733,0.33,15,5,0.518666666666667,"partially"
"1480","sigma","10",0.301440600614085,0.34,15,5,0.518666666666667,"partially"
"1481","sigma","11",0.178055391285221,0.3,15,5,0.518666666666667,"partially"
"1482","sigma","12",-0.013823356925231,1,15,5,0.518666666666667,"partially"
"1483","sigma","13",0.226114450968266,0.64,15,5,0.518666666666667,"partially"
"1484","sigma","14",0.197229094218408,0.66,15,5,0.518666666666667,"partially"
"1485","sigma","15",0.40272026466978,0.87,15,5,0.518666666666667,"partially"
"1486","mu","1",-0.187381604503218,0.97,15,10,0.925333333333333,"pooled"
"1487","mu","2",0.104477225375019,1,15,10,0.925333333333333,"pooled"
"1488","mu","3",-0.117696723793029,0.61,15,10,0.925333333333333,"pooled"
"1489","mu","4",-0.111776763779146,0.57,15,10,0.925333333333333,"pooled"
"1490","mu","5",0.399387784347926,1,15,10,0.925333333333333,"pooled"
"1491","mu","6",-0.204180223984624,0.99,15,10,0.925333333333333,"pooled"
"1492","mu","7",-0.308836637675114,1,15,10,0.925333333333333,"pooled"
"1493","mu","8",-0.425156345798377,1,15,10,0.925333333333333,"pooled"
"1494","mu","9",0.526359247153667,1,15,10,0.925333333333333,"pooled"
"1495","mu","10",0.00327693763623992,0.74,15,10,0.925333333333333,"pooled"
"1496","mu","11",0.165653434080056,1,15,10,0.925333333333333,"pooled"
"1497","mu","12",-0.339691492934443,1,15,10,0.925333333333333,"pooled"
"1498","mu","13",-0.50946458095179,1,15,10,0.925333333333333,"pooled"
"1499","mu","14",0.270361415460287,1,15,10,0.925333333333333,"pooled"
"1500","mu","15",-0.287997143240387,1,15,10,0.925333333333333,"pooled"
"1501","lambda","1",0.549139857824836,1,15,10,1,"pooled"
"1502","lambda","2",0.550758858477596,1,15,10,1,"pooled"
"1503","lambda","3",0.513504274819187,1,15,10,1,"pooled"
"1504","lambda","4",0.608212477027756,1,15,10,1,"pooled"
"1505","lambda","5",0.545129853948938,1,15,10,1,"pooled"
"1506","lambda","6",0.797110067148785,1,15,10,1,"pooled"
"1507","lambda","7",0.457942078083968,1,15,10,1,"pooled"
"1508","lambda","8",0.521268745656858,1,15,10,1,"pooled"
"1509","lambda","9",0.724749743959567,1,15,10,1,"pooled"
"1510","lambda","10",0.602752351615199,1,15,10,1,"pooled"
"1511","lambda","11",0.771325459496845,1,15,10,1,"pooled"
"1512","lambda","12",0.453858985248819,1,15,10,1,"pooled"
"1513","lambda","13",0.51687888575751,1,15,10,1,"pooled"
"1514","lambda","14",0.473574458659932,1,15,10,1,"pooled"
"1515","lambda","15",0.546067056044692,1,15,10,1,"pooled"
"1516","sigma","1",0.276349973112058,0.92,15,10,0.880666666666667,"pooled"
"1517","sigma","2",0.164485693971468,1,15,10,0.880666666666667,"pooled"
"1518","sigma","3",0.367547273074864,1,15,10,0.880666666666667,"pooled"
"1519","sigma","4",0.205865698126501,0.72,15,10,0.880666666666667,"pooled"
"1520","sigma","5",0.352886591565369,1,15,10,0.880666666666667,"pooled"
"1521","sigma","6",0.349208416319004,1,15,10,0.880666666666667,"pooled"
"1522","sigma","7",0.197296757139175,0.86,15,10,0.880666666666667,"pooled"
"1523","sigma","8",0.193039992655029,0.92,15,10,0.880666666666667,"pooled"
"1524","sigma","9",0.259587084019733,0.74,15,10,0.880666666666667,"pooled"
"1525","sigma","10",0.301440600614085,0.99,15,10,0.880666666666667,"pooled"
"1526","sigma","11",0.178055391285221,0.99,15,10,0.880666666666667,"pooled"
"1527","sigma","12",-0.013823356925231,1,15,10,0.880666666666667,"pooled"
"1528","sigma","13",0.226114450968266,0.2,15,10,0.880666666666667,"pooled"
"1529","sigma","14",0.197229094218408,0.87,15,10,0.880666666666667,"pooled"
"1530","sigma","15",0.40272026466978,1,15,10,0.880666666666667,"pooled"
"1531","mu","1",-0.187381604503218,0.92,15,10,0.53,"non_pooled"
"1532","mu","2",0.104477225375019,0.97,15,10,0.53,"non_pooled"
"1533","mu","3",-0.117696723793029,0.61,15,10,0.53,"non_pooled"
"1534","mu","4",-0.111776763779146,0.37,15,10,0.53,"non_pooled"
"1535","mu","5",0.399387784347926,0.23,15,10,0.53,"non_pooled"
"1536","mu","6",-0.204180223984624,0.15,15,10,0.53,"non_pooled"
"1537","mu","7",-0.308836637675114,0.24,15,10,0.53,"non_pooled"
"1538","mu","8",-0.425156345798377,0.67,15,10,0.53,"non_pooled"
"1539","mu","9",0.526359247153667,0.44,15,10,0.53,"non_pooled"
"1540","mu","10",0.00327693763623992,0.87,15,10,0.53,"non_pooled"
"1541","mu","11",0.165653434080056,0.7,15,10,0.53,"non_pooled"
"1542","mu","12",-0.339691492934443,0.12,15,10,0.53,"non_pooled"
"1543","mu","13",-0.50946458095179,0.85,15,10,0.53,"non_pooled"
"1544","mu","14",0.270361415460287,0.02,15,10,0.53,"non_pooled"
"1545","mu","15",-0.287997143240387,0.79,15,10,0.53,"non_pooled"
"1546","lambda","1",0.549139857824836,0.36,15,10,0.4,"non_pooled"
"1547","lambda","2",0.550758858477596,0.42,15,10,0.4,"non_pooled"
"1548","lambda","3",0.513504274819187,0.09,15,10,0.4,"non_pooled"
"1549","lambda","4",0.608212477027756,0.05,15,10,0.4,"non_pooled"
"1550","lambda","5",0.545129853948938,0.3,15,10,0.4,"non_pooled"
"1551","lambda","6",0.797110067148785,0.32,15,10,0.4,"non_pooled"
"1552","lambda","7",0.457942078083968,0.76,15,10,0.4,"non_pooled"
"1553","lambda","8",0.521268745656858,0.4,15,10,0.4,"non_pooled"
"1554","lambda","9",0.724749743959567,0.65,15,10,0.4,"non_pooled"
"1555","lambda","10",0.602752351615199,0.04,15,10,0.4,"non_pooled"
"1556","lambda","11",0.771325459496845,0.48,15,10,0.4,"non_pooled"
"1557","lambda","12",0.453858985248819,0.78,15,10,0.4,"non_pooled"
"1558","lambda","13",0.51687888575751,0.46,15,10,0.4,"non_pooled"
"1559","lambda","14",0.473574458659932,0.47,15,10,0.4,"non_pooled"
"1560","lambda","15",0.546067056044692,0.42,15,10,0.4,"non_pooled"
"1561","sigma","1",0.276349973112058,0.08,15,10,0.488,"non_pooled"
"1562","sigma","2",0.164485693971468,0.9,15,10,0.488,"non_pooled"
"1563","sigma","3",0.367547273074864,0.56,15,10,0.488,"non_pooled"
"1564","sigma","4",0.205865698126501,0.21,15,10,0.488,"non_pooled"
"1565","sigma","5",0.352886591565369,0.86,15,10,0.488,"non_pooled"
"1566","sigma","6",0.349208416319004,0.24,15,10,0.488,"non_pooled"
"1567","sigma","7",0.197296757139175,0.92,15,10,0.488,"non_pooled"
"1568","sigma","8",0.193039992655029,0.28,15,10,0.488,"non_pooled"
"1569","sigma","9",0.259587084019733,0.62,15,10,0.488,"non_pooled"
"1570","sigma","10",0.301440600614085,0.05,15,10,0.488,"non_pooled"
"1571","sigma","11",0.178055391285221,0.07,15,10,0.488,"non_pooled"
"1572","sigma","12",-0.013823356925231,1,15,10,0.488,"non_pooled"
"1573","sigma","13",0.226114450968266,0.77,15,10,0.488,"non_pooled"
"1574","sigma","14",0.197229094218408,0.24,15,10,0.488,"non_pooled"
"1575","sigma","15",0.40272026466978,0.52,15,10,0.488,"non_pooled"
"1576","mu","1",-0.187381604503218,0.67,15,10,0.591333333333333,"partially"
"1577","mu","2",0.104477225375019,0.93,15,10,0.591333333333333,"partially"
"1578","mu","3",-0.117696723793029,0.58,15,10,0.591333333333333,"partially"
"1579","mu","4",-0.111776763779146,0.26,15,10,0.591333333333333,"partially"
"1580","mu","5",0.399387784347926,0.72,15,10,0.591333333333333,"partially"
"1581","mu","6",-0.204180223984624,0.14,15,10,0.591333333333333,"partially"
"1582","mu","7",-0.308836637675114,0.52,15,10,0.591333333333333,"partially"
"1583","mu","8",-0.425156345798377,0.79,15,10,0.591333333333333,"partially"
"1584","mu","9",0.526359247153667,0.79,15,10,0.591333333333333,"partially"
"1585","mu","10",0.00327693763623992,0.73,15,10,0.591333333333333,"partially"
"1586","mu","11",0.165653434080056,0.39,15,10,0.591333333333333,"partially"
"1587","mu","12",-0.339691492934443,0.2,15,10,0.591333333333333,"partially"
"1588","mu","13",-0.50946458095179,0.94,15,10,0.591333333333333,"partially"
"1589","mu","14",0.270361415460287,0.33,15,10,0.591333333333333,"partially"
"1590","mu","15",-0.287997143240387,0.88,15,10,0.591333333333333,"partially"
"1591","lambda","1",0.549139857824836,0.45,15,10,0.480666666666667,"partially"
"1592","lambda","2",0.550758858477596,0.4,15,10,0.480666666666667,"partially"
"1593","lambda","3",0.513504274819187,0.54,15,10,0.480666666666667,"partially"
